Status,Project,Title,Name,URL,Error
Success,DD,Major Residential Redevelopments Sites 2017,major-residential-redevelopments-sites-2017,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/major-residential-redevelopments-sites-2017,
Success,ODP,Major Residential Redevelopments Sites 2017,major-residential-redevelopments-sites-2017,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/major-residential-redevelopments-sites-2017,
Success,DD,Immediate Protection Areas IPA,immediate-protection-areas-ipa,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/immediate-protection-areas-ipa,
Success,ODP,Immediate Protection Areas IPA,immediate-protection-areas-ipa,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/immediate-protection-areas-ipa,
Success,DD,Statewide Victorian Coastal Hazard Assessment 2017 - West Gippsland CMA,statewide-victorian-coastal-hazard-assessment-2017-west-gippsland-cma,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-west-gippsland-cma,
Success,ODP,Statewide Victorian Coastal Hazard Assessment 2017 - West Gippsland CMA,statewide-victorian-coastal-hazard-assessment-2017-west-gippsland-cma,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-west-gippsland-cma,
Success,DD,Statewide Victorian Coastal Hazard Assessment 2017 - Port Phillip CMA,statewide-victorian-coastal-hazard-assessment-2017-port-phillip-cma,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-port-phillip-cma,
Success,ODP,Statewide Victorian Coastal Hazard Assessment 2017 - Port Phillip CMA,statewide-victorian-coastal-hazard-assessment-2017-port-phillip-cma,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-port-phillip-cma,
Success,DD,Statewide Victorian Coastal Hazard Assessment 2017 - Glenelg-Hopkins CMA,statewide-victorian-coastal-hazard-assessment-2017-glenelg-hopkins-cma,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-glenelg-hopkins-cma,
Success,ODP,Statewide Victorian Coastal Hazard Assessment 2017 - Glenelg-Hopkins CMA,statewide-victorian-coastal-hazard-assessment-2017-glenelg-hopkins-cma,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-glenelg-hopkins-cma,
Success,DD,Statewide Victorian Coastal Hazard Assessment 2017 - East Gippsland CMA,statewide-victorian-coastal-hazard-assessment-2017-east-gippsland-cma,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-east-gippsland-cma,
Success,ODP,Statewide Victorian Coastal Hazard Assessment 2017 - East Gippsland CMA,statewide-victorian-coastal-hazard-assessment-2017-east-gippsland-cma,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/statewide-victorian-coastal-hazard-assessment-2017-east-gippsland-cma,
Success,DD,PTV SkyBus Stops,ptv-skybus-stops,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/ptv-skybus-stops,
Success,ODP,PTV SkyBus Stops,ptv-skybus-stops,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/ptv-skybus-stops,
Success,DD,Public Transport a collection of PTV datasets,public-transport-a-collection-of-ptv-datasets,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/public-transport-a-collection-of-ptv-datasets,
Success,ODP,Public Transport a collection of PTV datasets,public-transport-a-collection-of-ptv-datasets,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/public-transport-a-collection-of-ptv-datasets,
Success,DD,Victorian Land Use Information System 2016-2017,victorian-land-use-information-system-2016-2017,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/victorian-land-use-information-system-2016-2017,
Success,ODP,Victorian Land Use Information System 2016-2017,victorian-land-use-information-system-2016-2017,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/victorian-land-use-information-system-2016-2017,
Success,DD,Potential Groundwater Dependent Ecosystem (GDE) - Species Tolerance Grid,potential-groundwater-dependent-ecosystem-gde-species-tolerance-grid,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/potential-groundwater-dependent-ecosystem-gde-species-tolerance-grid,
Success,ODP,Potential Groundwater Dependent Ecosystem (GDE) - Species Tolerance Grid,potential-groundwater-dependent-ecosystem-gde-species-tolerance-grid,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/potential-groundwater-dependent-ecosystem-gde-species-tolerance-grid,
Success,DD,2010 Index of Stream Condition - Fragmentation 100m Section Summary Table,2010-index-of-stream-condition-fragmentation-100m-section-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-fragmentation-100m-section-summary-table,
Success,ODP,2010 Index of Stream Condition - Fragmentation 100m Section Summary Table,2010-index-of-stream-condition-fragmentation-100m-section-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-fragmentation-100m-section-summary-table,
Success,DD,2010 Index of Stream Condition - Structure 2 Reach Summary Table,2010-index-of-stream-condition-structure-2-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-structure-2-reach-summary-table,
Success,ODP,2010 Index of Stream Condition - Structure 2 Reach Summary Table,2010-index-of-stream-condition-structure-2-reach-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-structure-2-reach-summary-table,
Failed,DD,2010 Index of Stream Condition - Structure 1 Reach Summary Table,2010-index-of-stream-condition-structure-1-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-structure-1-reach-summary-table,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,2010 Index of Stream Condition - Structure 1 Reach Summary Table,2010-index-of-stream-condition-structure-1-reach-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-structure-1-reach-summary-table,
Success,DD,2010 Index of Stream Condition - Water Bodies Reach Summary Table,2010-index-of-stream-condition-water-bodies-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-water-bodies-reach-summary-table,
Success,ODP,2010 Index of Stream Condition - Water Bodies Reach Summary Table,2010-index-of-stream-condition-water-bodies-reach-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-water-bodies-reach-summary-table,
Success,DD,2010 Index of Stream Condition - Vegetation Width Reach Summary Table,2010-index-of-stream-condition-vegetation-width-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-vegetation-width-reach-summary-table,
Success,ODP,2010 Index of Stream Condition - Vegetation Width Reach Summary Table,2010-index-of-stream-condition-vegetation-width-reach-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-vegetation-width-reach-summary-table,
Success,DD,2010 Index of Stream Condition - Vegetation Overhang Reach Summary Table,2010-index-of-stream-condition-vegetation-overhang-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-vegetation-overhang-reach-summary-table,
Success,ODP,2010 Index of Stream Condition - Vegetation Overhang Reach Summary Table,2010-index-of-stream-condition-vegetation-overhang-reach-summary-table,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/2010-index-of-stream-condition-vegetation-overhang-reach-summary-table,
Success,DD,2010 Index of Stream Condition - Bank Condition Reach Summary Table,2010-index-of-stream-condition-bank-condition-reach-summary-table,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/2010-index-of-stream-condition-bank-condition-reach-summary-table,
